Reading,Receive,Value,Unit,Data Quality,River Stage,Rain Increment,Flow Volume,collectiontime,Lat_deg,Lon_deg
2025-06-02 11:00:00,2025-06-02 11:22:13,4.6,ft,A,4.6,0.0,10.3,2025-06-02 11:00:00,30.18611,-93.90833
2025-06-02 10:45:00,2025-06-02 11:22:13,4.6,ft,A,4.6,0.0,10.3,2025-06-02 10:45:00,30.18611,-93.90833
2025-06-02 10:30:00,2025-06-02 11:22:13,4.6,ft,A,4.6,0.0,10.6,2025-06-02 10:30:00,30.18611,-93.90833
2025-06-02 10:15:00,2025-06-02 11:22:13,4.6,ft,A,4.6,0.0,10.6,2025-06-02 10:15:00,30.18611,-93.90833
2025-06-02 10:00:00,2025-06-02 10:22:09,4.6,ft,A,4.6,0.0,10.4,2025-06-02 10:00:00,30.18611,-93.90833
2025-06-02 09:45:00,2025-06-02 10:22:09,4.6,ft,A,4.6,0.0,10.4,2025-06-02 09:45:00,30.18611,-93.90833
2025-06-02 09:30:00,2025-06-02 10:22:09,4.6,ft,A,4.6,0.0,10.3,2025-06-02 09:30:00,30.18611,-93.90833
2025-06-02 09:15:00,2025-06-02 10:22:09,4.6,ft,A,4.6,0.0,10.4,2025-06-02 09:15:00,30.18611,-93.90833
2025-06-02 09:00:00,2025-06-02 09:22:12,4.6,ft,A,4.6,0.0,10.4,2025-06-02 09:00:00,30.18611,-93.90833
2025-06-02 08:45:00,2025-06-02 09:22:11,4.6,ft,A,4.6,0.0,10.4,2025-06-02 08:45:00,30.18611,-93.90833
2025-06-02 08:30:00,2025-06-02 09:22:11,4.6,ft,A,4.6,0.0,10.4,2025-06-02 08:30:00,30.18611,-93.90833
2025-06-02 08:15:00,2025-06-02 09:22:11,4.6,ft,A,4.6,0.0,10.4,2025-06-02 08:15:00,30.18611,-93.90833
2025-06-02 08:00:00,2025-06-02 08:22:11,4.6,ft,A,4.6,0.0,10.4,2025-06-02 08:00:00,30.18611,-93.90833
2025-06-02 07:45:00,2025-06-02 08:22:11,4.6,ft,A,4.6,0.0,10.4,2025-06-02 07:45:00,30.18611,-93.90833
2025-06-02 07:30:00,2025-06-02 08:22:11,4.6,ft,A,4.6,0.0,10.4,2025-06-02 07:30:00,30.18611,-93.90833
2025-06-02 07:15:00,2025-06-02 08:22:11,4.6,ft,A,4.6,0.0,10.6,2025-06-02 07:15:00,30.18611,-93.90833
2025-06-02 07:00:00,2025-06-02 07:22:11,4.6,ft,A,4.6,0.0,10.6,2025-06-02 07:00:00,30.18611,-93.90833
2025-06-02 06:45:00,2025-06-02 07:22:11,4.6,ft,A,4.6,0.0,10.6,2025-06-02 06:45:00,30.18611,-93.90833
2025-06-02 06:30:00,2025-06-02 07:22:11,4.6,ft,A,4.6,0.0,10.6,2025-06-02 06:30:00,30.18611,-93.90833
2025-06-02 06:15:00,2025-06-02 07:22:11,4.6,ft,A,4.6,0.0,10.6,2025-06-02 06:15:00,30.18611,-93.90833
2025-06-02 06:00:00,2025-06-02 06:22:12,4.6,ft,A,4.6,0.0,10.6,2025-06-02 06:00:00,30.18611,-93.90833
2025-06-02 05:45:00,2025-06-02 06:22:12,4.7,ft,A,4.7,0.0,10.8,2025-06-02 05:45:00,30.18611,-93.90833
2025-06-02 05:30:00,2025-06-02 06:22:12,4.6,ft,A,4.6,0.0,10.6,2025-06-02 05:30:00,30.18611,-93.90833
2025-06-02 05:15:00,2025-06-02 06:22:12,4.7,ft,A,4.7,0.0,10.8,2025-06-02 05:15:00,30.18611,-93.90833
2025-06-02 05:00:00,2025-06-02 05:22:12,4.7,ft,A,4.7,0.0,10.8,2025-06-02 05:00:00,30.18611,-93.90833
2025-06-02 04:45:00,2025-06-02 05:22:12,4.7,ft,A,4.7,0.0,10.8,2025-06-02 04:45:00,30.18611,-93.90833
2025-06-02 04:30:00,2025-06-02 05:22:12,4.7,ft,A,4.7,0.0,10.8,2025-06-02 04:30:00,30.18611,-93.90833
2025-06-02 04:15:00,2025-06-02 05:22:12,4.7,ft,A,4.7,0.0,10.8,2025-06-02 04:15:00,30.18611,-93.90833
2025-06-02 04:00:00,2025-06-02 04:22:15,4.7,ft,A,4.7,0.0,10.8,2025-06-02 04:00:00,30.18611,-93.90833
2025-06-02 03:45:00,2025-06-02 04:22:14,4.7,ft,A,4.7,0.0,11.0,2025-06-02 03:45:00,30.18611,-93.90833
2025-06-02 03:30:00,2025-06-02 04:22:14,4.7,ft,A,4.7,0.0,11.0,2025-06-02 03:30:00,30.18611,-93.90833
2025-06-02 03:15:00,2025-06-02 04:22:14,4.7,ft,A,4.7,0.0,11.0,2025-06-02 03:15:00,30.18611,-93.90833
2025-06-02 03:00:00,2025-06-02 03:22:11,4.7,ft,A,4.7,0.0,11.0,2025-06-02 03:00:00,30.18611,-93.90833
2025-06-02 02:45:00,2025-06-02 03:22:11,4.7,ft,A,4.7,0.0,11.0,2025-06-02 02:45:00,30.18611,-93.90833
2025-06-02 02:30:00,2025-06-02 03:22:11,4.7,ft,A,4.7,0.0,11.0,2025-06-02 02:30:00,30.18611,-93.90833
2025-06-02 02:15:00,2025-06-02 03:22:11,4.7,ft,A,4.7,0.0,11.0,2025-06-02 02:15:00,30.18611,-93.90833
2025-06-02 02:00:00,2025-06-02 02:22:14,4.7,ft,A,4.7,0.0,11.0,2025-06-02 02:00:00,30.18611,-93.90833
2025-06-02 01:45:00,2025-06-02 02:22:14,4.7,ft,A,4.7,0.0,11.0,2025-06-02 01:45:00,30.18611,-93.90833
2025-06-02 01:30:00,2025-06-02 02:22:14,4.7,ft,A,4.7,0.0,11.0,2025-06-02 01:30:00,30.18611,-93.90833
2025-06-02 01:15:00,2025-06-02 02:22:14,4.7,ft,A,4.7,0.0,11.2,2025-06-02 01:15:00,30.18611,-93.90833
2025-06-02 01:00:00,2025-06-02 01:22:16,4.7,ft,A,4.7,0.0,11.2,2025-06-02 01:00:00,30.18611,-93.90833
2025-06-02 00:45:00,2025-06-02 01:22:16,4.7,ft,A,4.7,0.0,11.2,2025-06-02 00:45:00,30.18611,-93.90833
2025-06-02 00:30:00,2025-06-02 01:22:16,4.7,ft,A,4.7,0.0,11.2,2025-06-02 00:30:00,30.18611,-93.90833
2025-06-02 00:15:00,2025-06-02 01:22:16,4.7,ft,A,4.7,0.0,11.2,2025-06-02 00:15:00,30.18611,-93.90833
2025-06-02 00:00:00,2025-06-02 00:22:13,4.7,ft,A,4.7,0.0,11.2,2025-06-02 00:00:00,30.18611,-93.90833
2025-06-01 23:45:00,2025-06-02 00:22:13,4.7,ft,A,4.7,0.0,11.4,2025-06-01 23:45:00,30.18611,-93.90833
2025-06-01 23:30:00,2025-06-02 00:22:13,4.7,ft,A,4.7,0.0,11.4,2025-06-01 23:30:00,30.18611,-93.90833
2025-06-01 23:15:00,2025-06-02 00:22:13,4.7,ft,A,4.7,0.0,11.4,2025-06-01 23:15:00,30.18611,-93.90833
2025-06-01 23:00:00,2025-06-01 23:52:11,4.7,ft,A,4.7,0.0,11.4,2025-06-01 23:00:00,30.18611,-93.90833
2025-06-01 22:45:00,2025-06-01 23:52:11,4.7,ft,A,4.7,0.0,11.6,2025-06-01 22:45:00,30.18611,-93.90833
2025-06-01 22:30:00,2025-06-01 23:52:11,4.7,ft,A,4.7,0.0,11.6,2025-06-01 22:30:00,30.18611,-93.90833
2025-06-01 22:15:00,2025-06-01 23:52:11,4.7,ft,A,4.7,0.0,11.6,2025-06-01 22:15:00,30.18611,-93.90833
2025-06-01 22:00:00,2025-06-01 22:37:14,4.7,ft,A,4.7,0.0,11.6,2025-06-01 22:00:00,30.18611,-93.90833
2025-06-01 21:45:00,2025-06-01 22:37:14,4.7,ft,A,4.7,0.0,11.6,2025-06-01 21:45:00,30.18611,-93.90833
2025-06-01 21:30:00,2025-06-01 22:37:14,4.7,ft,A,4.7,0.0,11.6,2025-06-01 21:30:00,30.18611,-93.90833
2025-06-01 21:15:00,2025-06-01 22:37:14,4.7,ft,A,4.7,0.0,12.4,2025-06-01 21:15:00,30.18611,-93.90833
2025-06-01 21:00:00,2025-06-01 21:37:13,4.7,ft,A,4.7,0.0,12.2,2025-06-01 21:00:00,30.18611,-93.90833
2025-06-01 20:45:00,2025-06-01 21:37:13,4.7,ft,A,4.7,0.0,12.0,2025-06-01 20:45:00,30.18611,-93.90833
2025-06-01 20:30:00,2025-06-01 21:37:13,4.7,ft,A,4.7,0.0,12.0,2025-06-01 20:30:00,30.18611,-93.90833
2025-06-01 20:15:00,2025-06-01 21:37:13,4.7,ft,A,4.7,0.0,12.0,2025-06-01 20:15:00,30.18611,-93.90833
2025-06-01 20:00:00,2025-06-01 20:22:11,4.7,ft,A,4.7,0.0,11.8,2025-06-01 20:00:00,30.18611,-93.90833
2025-06-01 19:45:00,2025-06-01 20:22:11,4.8,ft,A,4.8,0.0,12.6,2025-06-01 19:45:00,30.18611,-93.90833
2025-06-01 19:30:00,2025-06-01 20:22:11,4.7,ft,A,4.7,0.0,12.2,2025-06-01 19:30:00,30.18611,-93.90833
2025-06-01 19:15:00,2025-06-01 20:22:11,4.7,ft,A,4.7,0.0,12.0,2025-06-01 19:15:00,30.18611,-93.90833
2025-06-01 19:00:00,2025-06-01 19:22:12,4.7,ft,A,4.7,0.0,12.0,2025-06-01 19:00:00,30.18611,-93.90833
2025-06-01 18:45:00,2025-06-01 19:22:12,4.7,ft,A,4.7,0.0,11.8,2025-06-01 18:45:00,30.18611,-93.90833
2025-06-01 18:30:00,2025-06-01 19:22:12,4.8,ft,A,4.8,0.0,12.6,2025-06-01 18:30:00,30.18611,-93.90833
2025-06-01 18:15:00,2025-06-01 19:22:12,4.8,ft,A,4.8,0.0,13.0,2025-06-01 18:15:00,30.18611,-93.90833
2025-06-01 18:00:00,2025-06-01 18:22:12,4.8,ft,A,4.8,0.0,12.6,2025-06-01 18:00:00,30.18611,-93.90833
2025-06-01 17:45:00,2025-06-01 18:22:12,4.8,ft,A,4.8,0.0,12.8,2025-06-01 17:45:00,30.18611,-93.90833
